category_code,event_name,elimination_name,discipline_id,ladder_id,sex,discipline,total_rounds,to_advance,last_update,round_name,heat_id,heat_name,sailor_name,sail_nr,place,note
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,4,1657_45a,45,Mauch,G-103,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,4,1657_45a,45,Chapuis,E-99,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,4,1657_45a,45,Neubauer,GRE-734,3,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,5,1657_46a,46,Fernandez,E-42,2,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,5,1657_46a,46,Browne,BRA-105,1,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,5,1657_46a,46,Chapuis,E-99,4,
857,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,960,857,male,wave,5,2,07/07/2024 17:49,5,1657_46a,46,Mauch,G-103,3,
876,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination,961,876,female,wave,3,2,07/07/2024 16:43,1,1663_14a,14,Piccaglia,E-19,1,
876,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination,961,876,female,wave,3,2,07/07/2024 16:43,1,1663_14a,14,Kolpikova Bala,ESP-1010,2,
876,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination,961,876,female,wave,3,2,07/07/2024 16:43,1,1663_14a,14,Hunter,F-181,3,
876,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination,961,876,female,wave,3,2,07/07/2024 16:43,1,1663_14a,14,,,,
876,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination,961,876,female,wave,3,2,07/07/2024 16:43,1,1663_15a,15,Bang Wittrup,D-82,1,
876,2024 Gran Canaria PWA Windsurfing Grand Slam ******,Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination,961,876,female,wave,3,2,07/07/2024 16:43,1,1663_15a,15,Linde,G-1316,2,
